_ ime,F_cup
2023/03/21 13:33:03,7.97
2023/03/21 13:33:04,7.94
2023/03/21 13:33:05,7.49
2023/03/21 13:33:06,7.23
2023/03/21 13:33:07,8.24
2023/03/21 13:33:08,8.02
2023/03/21 13:33:09,7.45
2023/03/21 13:33:10,7.45
2023/03/21 13:33:11,7.33
2023/03/21 13:33:12,7.56
2023/03/21 13:33:13,7.83
2023/03/21 13:33:14,7.93
2023/03/21 13:33:15,8.34
2023/03/21 13:33:16,7.57
2023/03/21 13:33:17,7.29
2023/03/21 13:33:18,7.23
2023/03/21 13:33:19,7.43
2023/03/21 13:33:20,7.14
2023/03/21 13:33:21,6.91
2023/03/21 13:33:22,7.05
2023/03/21 13:33:23,7.11
2023/03/21 13:33:24,7.32
2023/03/21 13:33:25,7.43
2023/03/21 13:33:26,8.17
2023/03/21 13:33:27,8.59
2023/03/21 13:33:28,9.31
2023/03/21 13:33:29,10.49
2023/03/21 13:33:30,10.34
2023/03/21 13:33:31,9.59
2023/03/21 13:33:32,9.23
2023/03/21 13:33:33,8.99
2023/03/21 13:33:34,9.42
2023/03/21 13:33:35,8.3
2023/03/21 13:33:36,6.91
2023/03/21 13:33:37,6.48
2023/03/21 13:33:38,6.28
2023/03/21 13:33:39,6.41
2023/03/21 13:33:40,6.6
2023/03/21 13:33:41,6.46
2023/03/21 13:33:42,5.78
2023/03/21 13:33:43,5.17
2023/03/21 13:33:44,4.89
2023/03/21 13:33:45,6.5
2023/03/21 13:33:46,7.37
2023/03/21 13:33:47,8.31
2023/03/21 13:33:48,9.18
2023/03/21 13:33:49,8.57
2023/03/21 13:33:50,8.07
2023/03/21 13:33:51,7.42
2023/03/21 13:33:52,7.44
2023/03/21 13:33:53,7.71
2023/03/21 13:33:54,7.86
2023/03/21 13:33:55,8.35
2023/03/21 13:33:56,8.99
2023/03/21 13:33:57,8.77
2023/03/21 13:33:58,8.57
2023/03/21 13:33:59,8.91
2023/03/21 13:34:00,9.22
2023/03/21 13:34:01,8.55
2023/03/21 13:34:02,7.76
2023/03/21 13:34:03,7.29
2023/03/21 13:34:04,6.23
2023/03/21 13:34:05,6.24
2023/03/21 13:34:06,7.45
2023/03/21 13:34:07,8.29
2023/03/21 13:34:08,8.14
2023/03/21 13:34:09,8.51
2023/03/21 13:34:10,8.21
2023/03/21 13:34:11,8.59
2023/03/21 13:34:12,9.62
2023/03/21 13:34:13,8.23
2023/03/21 13:34:14,7.37
2023/03/21 13:34:15,7.37
2023/03/21 13:34:16,7.91
2023/03/21 13:34:17,8.2
2023/03/21 13:34:18,7.14
2023/03/21 13:34:19,5.92
2023/03/21 13:34:20,5.93
2023/03/21 13:34:21,6.37
2023/03/21 13:34:22,7.64
2023/03/21 13:34:23,7.65
2023/03/21 13:34:24,6.76
2023/03/21 13:34:25,6.36
2023/03/21 13:34:26,6.66
2023/03/21 13:34:27,6.86
2023/03/21 13:34:28,6.66
2023/03/21 13:34:29,6.47
2023/03/21 13:34:30,6.98
2023/03/21 13:34:31,8.27
2023/03/21 13:34:32,8.29
2023/03/21 13:34:33,8.85
2023/03/21 13:34:34,8.12
2023/03/21 13:34:35,7.93
2023/03/21 13:34:36,8.11
2023/03/21 13:34:37,7.89
2023/03/21 13:34:38,8.63
2023/03/21 13:34:39,9.04
2023/03/21 13:34:40,9.1
2023/03/21 13:34:41,8.35
2023/03/21 13:34:42,7.94
2023/03/21 13:34:43,9.14
2023/03/21 13:34:44,9.64
2023/03/21 13:34:45,9.54
2023/03/21 13:34:46,9.24
2023/03/21 13:34:47,9.19
2023/03/21 13:34:48,8.96
2023/03/21 13:34:49,8.71
2023/03/21 13:34:50,8.28
2023/03/21 13:34:51,8.2
2023/03/21 13:34:52,8.04
2023/03/21 13:34:53,7.94
2023/03/21 13:34:54,7.82
2023/03/21 13:34:55,9.26
2023/03/21 13:34:56,9.86
2023/03/21 13:34:57,9.95
2023/03/21 13:34:58,9.29
2023/03/21 13:34:59,8.96
2023/03/21 13:35:00,8.81
2023/03/21 13:35:01,9
2023/03/21 13:35:02,9.35
2023/03/21 13:35:03,9.14
2023/03/21 13:35:04,9.17
2023/03/21 13:35:05,9.19
2023/03/21 13:35:06,9.16
2023/03/21 13:35:07,8.83
2023/03/21 13:35:08,8.74
2023/03/21 13:35:09,9.01
2023/03/21 13:35:10,8.92
2023/03/21 13:35:11,8.79
2023/03/21 13:35:12,8.71
2023/03/21 13:35:13,8.51
2023/03/21 13:35:14,8.22
2023/03/21 13:35:15,9.03
2023/03/21 13:35:16,9.47
2023/03/21 13:35:17,9.08
2023/03/21 13:35:18,9.03
2023/03/21 13:35:19,8.88
2023/03/21 13:35:20,8.87
2023/03/21 13:35:21,8.99
2023/03/21 13:35:22,8.16
2023/03/21 13:35:23,8.02
2023/03/21 13:35:24,7.11
2023/03/21 13:35:25,7.08
2023/03/21 13:35:26,7.35
2023/03/21 13:35:27,6.98
2023/03/21 13:35:28,6.73
2023/03/21 13:35:29,6.46
2023/03/21 13:35:30,6.66
2023/03/21 13:35:31,7.31
2023/03/21 13:35:32,7.72
2023/03/21 13:35:33,7.58
2023/03/21 13:35:34,6.89
2023/03/21 13:35:35,6.61
2023/03/21 13:35:36,7.34
2023/03/21 13:35:37,8.81
2023/03/21 13:35:38,9.02
2023/03/21 13:35:39,8.65
2023/03/21 13:35:40,8.24
2023/03/21 13:35:41,8.09
2023/03/21 13:35:42,7.8
2023/03/21 13:35:43,7.19
2023/03/21 13:35:44,6.88
2023/03/21 13:35:45,7.19
2023/03/21 13:35:46,6.95
2023/03/21 13:35:47,7.22
2023/03/21 13:35:48,7.61
2023/03/21 13:35:49,7.36
2023/03/21 13:35:50,7.26
2023/03/21 13:35:51,7.54
2023/03/21 13:35:52,7.81
2023/03/21 13:35:53,7.16
2023/03/21 13:35:54,6.23
2023/03/21 13:35:55,6.47
2023/03/21 13:35:56,7.07
2023/03/21 13:35:57,7.49
2023/03/21 13:35:58,7.21
2023/03/21 13:35:59,8
2023/03/21 13:36:00,8.35
2023/03/21 13:36:01,8.45
2023/03/21 13:36:02,8.24
2023/03/21 13:36:03,8.15
2023/03/21 13:36:04,8
2023/03/21 13:36:05,8.39
2023/03/21 13:36:06,8.16
2023/03/21 13:36:07,8.3
2023/03/21 13:36:08,8.18
2023/03/21 13:36:09,8.03
2023/03/21 13:36:10,7.95
2023/03/21 13:36:11,7.81
2023/03/21 13:36:12,7.25
2023/03/21 13:36:13,6.76
2023/03/21 13:36:14,6.43
2023/03/21 13:36:15,6.7
2023/03/21 13:36:16,6.34
2023/03/21 13:36:17,5.49
2023/03/21 13:36:18,5.86
2023/03/21 13:36:19,7.25
2023/03/21 13:36:20,7.72
2023/03/21 13:36:21,7.4
2023/03/21 13:36:22,7.47
2023/03/21 13:36:23,7.59
2023/03/21 13:36:24,7.93
2023/03/21 13:36:25,8.22
2023/03/21 13:36:26,7.99
2023/03/21 13:36:27,7.95
2023/03/21 13:36:28,7.75
2023/03/21 13:36:29,7.55
2023/03/21 13:36:30,7.09
2023/03/21 13:36:31,7.07
2023/03/21 13:36:32,7.41
2023/03/21 13:36:33,7.65
2023/03/21 13:36:34,7.96
2023/03/21 13:36:35,7.86
2023/03/21 13:36:36,7
2023/03/21 13:36:37,6.58
2023/03/21 13:36:38,6.55
2023/03/21 13:36:39,6.25
2023/03/21 13:36:40,5.66
2023/03/21 13:36:41,5.77
2023/03/21 13:36:42,6.49
2023/03/21 13:36:43,7.96
2023/03/21 13:36:44,7.56
2023/03/21 13:36:45,7.14
2023/03/21 13:36:46,7
2023/03/21 13:36:47,7.79
2023/03/21 13:36:48,7.79
2023/03/21 13:36:49,8.74
2023/03/21 13:36:50,8.37
2023/03/21 13:36:51,8.61
2023/03/21 13:36:52,8.2
2023/03/21 13:36:53,8.6
2023/03/21 13:36:54,9.36
2023/03/21 13:36:55,9.19
2023/03/21 13:36:56,8.7
2023/03/21 13:36:57,7.54
2023/03/21 13:36:58,7.36
2023/03/21 13:36:59,7.94
2023/03/21 13:37:00,7.34
2023/03/21 13:37:01,6.62
2023/03/21 13:37:02,6.89
2023/03/21 13:37:03,6.24
2023/03/21 13:37:04,5.04
2023/03/21 13:37:05,5.24
2023/03/21 13:37:06,6.13
2023/03/21 13:37:07,7.99
2023/03/21 13:37:08,8.28
2023/03/21 13:37:09,8.26
2023/03/21 13:37:10,8.16
2023/03/21 13:37:11,7.84
2023/03/21 13:37:12,7.25
2023/03/21 13:37:13,7.04
2023/03/21 13:37:14,6.66
2023/03/21 13:37:15,7.04
2023/03/21 13:37:16,6.73
2023/03/21 13:37:17,6.46
2023/03/21 13:37:18,6.93
2023/03/21 13:37:19,7.38
2023/03/21 13:37:20,7.24
2023/03/21 13:37:21,6.42
2023/03/21 13:37:22,6.38
2023/03/21 13:37:23,6.38
2023/03/21 13:37:24,7.73
2023/03/21 13:37:25,7.71
2023/03/21 13:37:26,7.06
2023/03/21 13:37:27,6.98
2023/03/21 13:37:28,6.8
2023/03/21 13:37:29,7.05
2023/03/21 13:37:30,7.53
2023/03/21 13:37:31,7.62
2023/03/21 13:37:32,7.68
2023/03/21 13:37:33,6.28
2023/03/21 13:37:34,7.08
2023/03/21 13:37:35,7.01
2023/03/21 13:37:36,6.8
2023/03/21 13:37:37,6.51
2023/03/21 13:37:38,6.49
2023/03/21 13:37:39,6.31
2023/03/21 13:37:40,6.12
2023/03/21 13:37:41,7.47
2023/03/21 13:37:42,8.03
2023/03/21 13:37:43,8.52
2023/03/21 13:37:44,9.34
2023/03/21 13:37:45,9.25
2023/03/21 13:37:46,9.03
2023/03/21 13:37:47,8.76
2023/03/21 13:37:48,7.92
2023/03/21 13:37:49,7.63
2023/03/21 13:37:50,8.06
2023/03/21 13:37:51,7.98
2023/03/21 13:37:52,7.74
2023/03/21 13:37:53,7.51
2023/03/21 13:37:53,6.89
